area,curConfirm,curConfirmRelative,confirmed,crued,died
西藏,0,0,1,1,0
澳门,297,32,382,83,2
青海,0,0,147,147,0
台湾,3849830,32584,3870528,13742,6956
香港,265358,215,338934,64171,9405
贵州,0,0,185,183,2
吉林,0,0,40295,40290,5
新疆,0,0,1008,1005,3
宁夏,0,0,122,122,0
内蒙古,19,-5,2102,2082,1
甘肃,1,0,682,679,2
天津,12,-6,2012,1997,3
山西,0,0,423,423,0
辽宁,2,1,1719,1715,2
黑龙江,0,-1,2988,2975,13
海南,3,0,291,282,6
河北,1,0,2007,1999,7
陕西,14,-3,3338,3321,3
云南,12,-2,2174,2160,2
广西,0,0,1649,1647,2
福建,53,1,3457,3403,1
上海,64,-1,63273,62614,595
北京,19,-4,3685,3657,9
江苏,24,3,2264,2240,0
四川,16,0,2379,2360,3
山东,27,3,2770,2736,7
江西,7,1,1392,1384,1
重庆,17,0,740,717,6
安徽,134,29,1199,1059,6
湖南,0,-2,1401,1397,4
河南,1,1,3184,3161,22
广东,89,4,7473,7376,8
浙江,13,2,3161,3147,1
湖北,2,0,68402,63888,4512
